Packet_Number,Timestamp,Data
1,2026-02-27 00:11:16,-169.96336996336996|-122.34432234432235|-87.17948717948718|-87.17948717948718|-115.01831501831502
2,2026-02-27 00:11:16,-166.3003663003663|-180.95238095238096|-189.74358974358975|-175.0915750915751|-169.23076923076923
3,2026-02-27 00:11:16,-166.3003663003663|-157.50915750915752|-167.76556776556777|-136.996336996337|5.128205128205129
4,2026-02-27 00:11:16,494.5054945054945|1499.6336996336997|1499.6336996336997|498.9010989010989|-660.07326007326
5,2026-02-27 00:11:16,-712.8205128205128|-362.6373626373626|-135.53113553113553|-133.33333333333334|-79.12087912087912
6,2026-02-27 00:11:16,-101.83150183150182|-95.23809523809524|-28.571428571428573|-141.3919413919414|-41.02564102564103
7,2026-02-27 00:11:16,-290.84249084249086|-225.64102564102564|125.27472527472527|-87.17948717948718|-5.86080586080586
8,2026-02-27 00:11:16,-13.186813186813186|-129.67032967032966|231.5018315018315|15.384615384615385|126.73992673992674
9,2026-02-27 00:11:17,419.7802197802198|84.24908424908425|476.9230769230769|475.45787545787545|348.71794871794873
10,2026-02-27 00:11:17,768.4981684981685|347.98534798534797|675.4578754578755|554.5787545787546|482.7838827838828
11,2026-02-27 00:11:17,815.3846153846154|201.46520146520146|395.6043956043956|158.97435897435898|-85.71428571428571
12,2026-02-27 00:11:17,109.15750915750915|-390.4761904761905|-152.38095238095238|-296.7032967032967|-387.54578754578756
13,2026-02-27 00:11:17,-214.65201465201466|-531.1355311355311|-299.6336996336996|-483.5164835164835|-323.8095238095238
14,2026-02-27 00:11:17,-277.65567765567766|-477.65567765567766|-178.75457875457874|-408.05860805860806|-295.23809523809524
15,2026-02-27 00:11:17,-243.95604395604394|-445.42124542124543|-182.41758241758242|-412.45421245421244|-273.2600732600733
16,2026-02-27 00:11:17,-213.1868131868132|-457.87545787545787|-144.32234432234432|-387.54578754578756|-311.35531135531136
17,2026-02-27 00:11:17,-71.06227106227107|-445.42124542124543|-122.34432234432235|-246.8864468864469|-265.9340659340659
18,2026-02-27 00:11:17,248.35164835164835|-306.959706959707|68.13186813186813|-100.36630036630036|60.8058608058608
19,2026-02-27 00:11:17,638.8278388278388|134.7985347985348|323.0769230769231|-134.7985347985348|371.42857142857144
20,2026-02-27 00:11:17,861.5384615384615|356.7765567765568|456.4102564102564|-251.28205128205127|474.72527472527474
21,2026-02-27 00:11:17,928.2051282051282|340.65934065934067|617.5824175824176|-252.74725274725276|462.27106227106225
22,2026-02-27 00:11:17,828.5714285714286|394.87179487179486|654.2124542124542|-380.2197802197802|391.94139194139194
23,2026-02-27 00:11:17,696.7032967032967|254.21245421245422|553.1135531135532|-536.996336996337|242.49084249084248
24,2026-02-27 00:11:17,674.7252747252747|243.95604395604394|683.5164835164835|-38.827838827838825|1499.6336996336997
25,2026-02-27 00:11:17,1499.6336996336997|1385.3479853479853|65.2014652014652|-1200.0|5.86080586080586
26,2026-02-27 00:11:17,523.0769230769231|91.57509157509158|468.13186813186815|-717.9487179487179|182.41758241758242
27,2026-02-27 00:11:17,534.065934065934|91.57509157509158|513.5531135531136|-711.3553113553113|202.93040293040292
28,2026-02-27 00:11:17,482.7838827838828|125.27472527472527|556.7765567765567|-721.6117216117216|217.58241758241758
29,2026-02-27 00:11:17,482.7838827838828|196.33699633699635|724.5421245421245|-657.8754578754579|358.97435897435895
