Packet_Number,Timestamp,Data
1,2026-02-27 00:11:16,104101
2,2026-02-27 00:11:16,104101
3,2026-02-27 00:11:16,104156
4,2026-02-27 00:11:16,104207
5,2026-02-27 00:11:16,104252
6,2026-02-27 00:11:16,104261
7,2026-02-27 00:11:16,104300
8,2026-02-27 00:11:16,104341
9,2026-02-27 00:11:17,104426
10,2026-02-27 00:11:17,104481
11,2026-02-27 00:11:17,104482
12,2026-02-27 00:11:17,104339
13,2026-02-27 00:11:17,104234
14,2026-02-27 00:11:17,104159
15,2026-02-27 00:11:17,104143
16,2026-02-27 00:11:17,104151
17,2026-02-27 00:11:17,104196
18,2026-02-27 00:11:17,104226
19,2026-02-27 00:11:17,104221
20,2026-02-27 00:11:17,104215
21,2026-02-27 00:11:17,104238
22,2026-02-27 00:11:17,104249
23,2026-02-27 00:11:17,104246
24,2026-02-27 00:11:17,104231
25,2026-02-27 00:11:17,104290
26,2026-02-27 00:11:17,104315
27,2026-02-27 00:11:17,104333
28,2026-02-27 00:11:17,104364
29,2026-02-27 00:11:17,104389
30,2026-02-27 00:11:17,104403
31,2026-02-27 00:11:17,104455
32,2026-02-27 00:11:17,104392
33,2026-02-27 00:11:17,104266
34,2026-02-27 00:11:18,104176
35,2026-02-27 00:11:18,104164
36,2026-02-27 00:11:18,104167
37,2026-02-27 00:11:18,104210
38,2026-02-27 00:11:18,104237
39,2026-02-27 00:11:18,104254
40,2026-02-27 00:11:18,104261
41,2026-02-27 00:11:18,104288
42,2026-02-27 00:11:18,104304
43,2026-02-27 00:11:18,104354
44,2026-02-27 00:11:18,104395
45,2026-02-27 00:11:18,104425
46,2026-02-27 00:11:18,104462
47,2026-02-27 00:11:18,104481
48,2026-02-27 00:11:18,104480
49,2026-02-27 00:11:18,104530
50,2026-02-27 00:11:18,104573
51,2026-02-27 00:11:18,104598
52,2026-02-27 00:11:18,104621
53,2026-02-27 00:11:18,104653
54,2026-02-27 00:11:18,104597
55,2026-02-27 00:11:18,104491
56,2026-02-27 00:11:18,104385
57,2026-02-27 00:11:18,104352
58,2026-02-27 00:11:19,104374
59,2026-02-27 00:11:19,104380
60,2026-02-27 00:11:19,104361
61,2026-02-27 00:11:19,104409
62,2026-02-27 00:11:19,104425
63,2026-02-27 00:11:19,104427
64,2026-02-27 00:11:19,104450
65,2026-02-27 00:11:19,104466
66,2026-02-27 00:11:19,104479
67,2026-02-27 00:11:19,104516
68,2026-02-27 00:11:19,104546
69,2026-02-27 00:11:19,104582
70,2026-02-27 00:11:19,104608
71,2026-02-27 00:11:19,104606
72,2026-02-27 00:11:19,104596
73,2026-02-27 00:11:19,104637
74,2026-02-27 00:11:19,104624
75,2026-02-27 00:11:19,104630
76,2026-02-27 00:11:19,104664
77,2026-02-27 00:11:19,104658
78,2026-02-27 00:11:19,104567
79,2026-02-27 00:11:19,104470
80,2026-02-27 00:11:19,104378
81,2026-02-27 00:11:19,104365
82,2026-02-27 00:11:19,104389
83,2026-02-27 00:11:19,104390
84,2026-02-27 00:11:20,104400
85,2026-02-27 00:11:20,104427
86,2026-02-27 00:11:20,104401
87,2026-02-27 00:11:20,104406
88,2026-02-27 00:11:20,104432
89,2026-02-27 00:11:20,104423
90,2026-02-27 00:11:20,104438
91,2026-02-27 00:11:20,104503
92,2026-02-27 00:11:20,104520
93,2026-02-27 00:11:20,104537
94,2026-02-27 00:11:20,104555
95,2026-02-27 00:11:20,104550
96,2026-02-27 00:11:20,104557
97,2026-02-27 00:11:20,104636
98,2026-02-27 00:11:20,104687
99,2026-02-27 00:11:20,104720
100,2026-02-27 00:11:20,104736
101,2026-02-27 00:11:20,104653
102,2026-02-27 00:11:20,104516
103,2026-02-27 00:11:20,104415
104,2026-02-27 00:11:20,104386
105,2026-02-27 00:11:20,104377
106,2026-02-27 00:11:20,104374
107,2026-02-27 00:11:20,104373
108,2026-02-27 00:11:21,104369
