Timestamp,Data
2026-02-03 17:39:21,-759
2026-02-03 17:39:21,-952
2026-02-03 17:39:21,-1049
2026-02-03 17:39:21,-892
2026-02-03 17:39:21,-712
2026-02-03 17:39:21,-654
2026-02-03 17:39:21,-616
2026-02-03 17:39:21,-628
2026-02-03 17:39:21,-728
2026-02-03 17:39:21,-776
2026-02-03 17:39:21,-727
2026-02-03 17:39:21,-762
2026-02-03 17:39:21,-975
2026-02-03 17:39:21,-1043
2026-02-03 17:39:21,-795
2026-02-03 17:39:21,-602
2026-02-03 17:39:21,-719
2026-02-03 17:39:21,-469
2026-02-03 17:39:21,-460
2026-02-03 17:39:21,-665
2026-02-03 17:39:21,-697
2026-02-03 17:39:21,-684
2026-02-03 17:39:21,-734
2026-02-03 17:39:21,-763
2026-02-03 17:39:21,-807
2026-02-03 17:39:21,-833
2026-02-03 17:39:21,-842
2026-02-03 17:39:21,-562
2026-02-03 17:39:21,-276
2026-02-03 17:39:21,-426
2026-02-03 17:39:21,-661
2026-02-03 17:39:21,-784
2026-02-03 17:39:21,-796
2026-02-03 17:39:21,-769
2026-02-03 17:39:21,-652
2026-02-03 17:39:21,-565
2026-02-03 17:39:21,-954
2026-02-03 17:39:21,-1720
2026-02-03 17:39:21,-1224
2026-02-03 17:39:21,2185
2026-02-03 17:39:21,6680
2026-02-03 17:39:21,7723
2026-02-03 17:39:21,-1487
2026-02-03 17:39:21,-3486
2026-02-03 17:39:21,-2053
2026-02-03 17:39:21,-317
2026-02-03 17:39:21,-34
2026-02-03 17:39:21,-380
2026-02-03 17:39:21,-386
2026-02-03 17:39:21,-59
2026-02-03 17:39:21,59
2026-02-03 17:39:21,161
2026-02-03 17:39:21,257
2026-02-03 17:39:21,429
2026-02-03 17:39:21,590
2026-02-03 17:39:21,771
2026-02-03 17:39:21,937
2026-02-03 17:39:21,1127
2026-02-03 17:39:21,1418
2026-02-03 17:39:21,1753
2026-02-03 17:39:21,2077
2026-02-03 17:39:21,2484
2026-02-03 17:39:21,2977
2026-02-03 17:39:21,3411
2026-02-03 17:39:21,3612
2026-02-03 17:39:21,3540
2026-02-03 17:39:21,3357
