Timestamp,Data
2026-02-03 17:39:21,-80
2026-02-03 17:39:21,-56
2026-02-03 17:39:21,-31
2026-02-03 17:39:21,-10
2026-02-03 17:39:21,-11
2026-02-03 17:39:21,-25
2026-02-03 17:39:21,-45
2026-02-03 17:39:21,-68
2026-02-03 17:39:21,-88
2026-02-03 17:39:21,-98
2026-02-03 17:39:21,-90
2026-02-03 17:39:21,-81
2026-02-03 17:39:21,-73
2026-02-03 17:39:21,-75
2026-02-03 17:39:21,-87
2026-02-03 17:39:21,-93
2026-02-03 17:39:21,-103
2026-02-03 17:39:21,-106
2026-02-03 17:39:21,-114
2026-02-03 17:39:21,-120
2026-02-03 17:39:21,-126
2026-02-03 17:39:21,-128
2026-02-03 17:39:21,-128
2026-02-03 17:39:21,-131
2026-02-03 17:39:21,-132
2026-02-03 17:39:21,-137
2026-02-03 17:39:21,-153
2026-02-03 17:39:21,-176
2026-02-03 17:39:21,-182
2026-02-03 17:39:21,-186
2026-02-03 17:39:21,-185
2026-02-03 17:39:21,-183
2026-02-03 17:39:21,-185
2026-02-03 17:39:21,-183
2026-02-03 17:39:21,-185
2026-02-03 17:39:21,-185
2026-02-03 17:39:21,-183
2026-02-03 17:39:21,-181
2026-02-03 17:39:21,-176
2026-02-03 17:39:21,-171
2026-02-03 17:39:21,-165
2026-02-03 17:39:21,-167
2026-02-03 17:39:21,-174
2026-02-03 17:39:21,-211
2026-02-03 17:39:21,-237
2026-02-03 17:39:21,-266
2026-02-03 17:39:21,-292
2026-02-03 17:39:21,-312
2026-02-03 17:39:21,-324
2026-02-03 17:39:21,-325
2026-02-03 17:39:21,-321
2026-02-03 17:39:21,-318
2026-02-03 17:39:21,-320
2026-02-03 17:39:21,-329
2026-02-03 17:39:21,-319
2026-02-03 17:39:21,-283
2026-02-03 17:39:21,-220
2026-02-03 17:39:21,-126
2026-02-03 17:39:21,-12
2026-02-03 17:39:22,109
2026-02-03 17:39:22,221
2026-02-03 17:39:22,317
2026-02-03 17:39:22,390
2026-02-03 17:39:22,443
2026-02-03 17:39:22,487
2026-02-03 17:39:22,530
2026-02-03 17:39:22,658
2026-02-03 17:39:22,741
2026-02-03 17:39:22,835
2026-02-03 17:39:22,929
2026-02-03 17:39:22,1007
2026-02-03 17:39:22,1067
2026-02-03 17:39:22,1106
2026-02-03 17:39:22,1123
2026-02-03 17:39:22,1121
2026-02-03 17:39:22,1102
2026-02-03 17:39:22,1069
2026-02-03 17:39:22,1026
2026-02-03 17:39:22,982
2026-02-03 17:39:22,934
2026-02-03 17:39:22,852
