Packet_Number,Timestamp,Data
127,2026-02-26 22:18:12,[109775|0]
128,2026-02-26 22:18:12,[109757|0]
129,2026-02-26 22:18:12,[109815|0]
130,2026-02-26 22:18:12,[109854|0]
131,2026-02-26 22:18:12,[109913|0]
132,2026-02-26 22:18:12,[109929|0]
133,2026-02-26 22:18:12,[109936|0]
134,2026-02-26 22:18:12,[109952|0]
135,2026-02-26 22:18:12,[109965|0]
136,2026-02-26 22:18:12,[109985|0]
137,2026-02-26 22:18:12,[110029|0]
138,2026-02-26 22:18:12,[110018|0]
139,2026-02-26 22:18:12,[109767|0]
140,2026-02-26 22:18:12,[109538|0]
141,2026-02-26 22:18:12,[109508|0]
142,2026-02-26 22:18:12,[109558|0]
143,2026-02-26 22:18:12,[109588|0]
144,2026-02-26 22:18:12,[109592|0]
145,2026-02-26 22:18:12,[109575|0]
146,2026-02-26 22:18:12,[109552|0]
147,2026-02-26 22:18:12,[109552|0]
148,2026-02-26 22:18:12,[109561|0]
149,2026-02-26 22:18:13,[109598|0]
150,2026-02-26 22:18:13,[109632|0]
151,2026-02-26 22:18:13,[109643|0]
152,2026-02-26 22:18:13,[109670|0]
153,2026-02-26 22:18:13,[109702|0]
154,2026-02-26 22:18:13,[109725|0]
155,2026-02-26 22:18:13,[109741|0]
156,2026-02-26 22:18:13,[109768|0]
157,2026-02-26 22:18:13,[109768|0]
158,2026-02-26 22:18:13,[109789|0]
159,2026-02-26 22:18:13,[109795|0]
160,2026-02-26 22:18:13,[109584|0]
161,2026-02-26 22:18:13,[109385|0]
162,2026-02-26 22:18:13,[109372|0]
163,2026-02-26 22:18:13,[109419|0]
164,2026-02-26 22:18:13,[109430|0]
165,2026-02-26 22:18:13,[109493|0]
166,2026-02-26 22:18:13,[109477|0]
167,2026-02-26 22:18:13,[109436|0]
168,2026-02-26 22:18:13,[109423|0]
169,2026-02-26 22:18:13,[109450|0]
170,2026-02-26 22:18:13,[109475|0]
171,2026-02-26 22:18:13,[109546|0]
172,2026-02-26 22:18:13,[109569|0]
173,2026-02-26 22:18:14,[109608|0]
174,2026-02-26 22:18:14,[109623|0]
175,2026-02-26 22:18:14,[109632|0]
176,2026-02-26 22:18:14,[109631|0]
177,2026-02-26 22:18:14,[109687|0]
178,2026-02-26 22:18:14,[109752|0]
179,2026-02-26 22:18:14,[109789|0]
180,2026-02-26 22:18:14,[109615|0]
