Packet_Number,Timestamp,Data
1,2026-02-26 22:18:07,[-295.97069597069594|-265.9340659340659|-309.8901098901099|-252.74725274725276|-295.23809523809524]
2,2026-02-26 22:18:07,[-265.9340659340659|-238.0952380952381|-284.98168498168496|-220.51282051282053|-264.46886446886447]
3,2026-02-26 22:18:07,[-250.54945054945054|-229.3040293040293|-274.72527472527474|-218.3150183150183|-264.46886446886447]
4,2026-02-26 22:18:07,[-261.53846153846155|-227.1062271062271|-284.98168498168496|-235.16483516483515|-277.65567765567766]
5,2026-02-26 22:18:07,[-254.21245421245422|-220.51282051282053|-275.45787545787545|-217.58241758241758|-249.08424908424908]
6,2026-02-26 22:18:07,[-235.16483516483515|-205.86080586080587|-251.28205128205127|-189.01098901098902|-223.44322344322345]
7,2026-02-26 22:18:07,[-218.3150183150183|-188.2783882783883|-238.0952380952381|-180.95238095238096|-213.1868131868132]
8,2026-02-26 22:18:07,[-238.82783882783883|-154.57875457875457|-247.61904761904762|-219.04761904761904|-166.3003663003663]
9,2026-02-26 22:18:07,[-284.24908424908426|-161.9047619047619|-219.78021978021977|-161.17216117216117|-84.24908424908425]
10,2026-02-26 22:18:07,[-246.15384615384616|-115.75091575091575|-258.6080586080586|-264.46886446886447|-161.17216117216117]
11,2026-02-26 22:18:07,[-324.54212454212455|-135.53113553113553|-243.2234432234432|-264.46886446886447|-123.07692307692308]
12,2026-02-26 22:18:07,[-129.67032967032966|646.8864468864468|1499.6336996336997|1499.6336996336997|92.3076923076923]
13,2026-02-26 22:18:07,[-965.5677655677656|-636.6300366300367|-414.65201465201466|-255.67765567765568|-94.50549450549451]
14,2026-02-26 22:18:07,[-287.1794871794872|-80.58608058608058|-161.17216117216117|-170.6959706959707|-17.582417582417584]
15,2026-02-26 22:18:07,[-215.3846153846154|-4.395604395604396|-84.98168498168498|-106.22710622710623|64.46886446886447]
16,2026-02-26 22:18:07,[-123.80952380952381|97.43589743589743|28.571428571428573|28.571428571428573|202.1978021978022]
17,2026-02-26 22:18:07,[43.223443223443226|241.02564102564102|224.9084249084249|274.72527472527474|418.31501831501834]
18,2026-02-26 22:18:07,[346.5201465201465|525.2747252747253|464.46886446886447|474.72527472527474|546.5201465201466]
19,2026-02-26 22:18:07,[372.8937728937729|432.967032967033|230.76923076923077|102.56410256410257|56.41025641025641]
20,2026-02-26 22:18:07,[-173.62637362637363|-117.94871794871794|-252.74725274725276|-293.7728937728938|-216.11721611721612]
21,2026-02-26 22:18:07,[-386.8131868131868|-242.49084249084248|-314.2857142857143|-312.0879120879121|-213.91941391941393]
22,2026-02-26 22:18:07,[-359.7069597069597|-202.93040293040292|-286.4468864468864|-293.040293040293|-180.95238095238096]
23,2026-02-26 22:18:08,[-334.7985347985348|-179.48717948717947|-258.6080586080586|-264.46886446886447|-170.6959706959707]
24,2026-02-26 22:18:08,[-324.54212454212455|-172.8937728937729|-252.74725274725276|-267.3992673992674|-167.76556776556777]
25,2026-02-26 22:18:08,[-342.85714285714283|-188.2783882783883|-259.34065934065933|-271.79487179487177|-166.3003663003663]
26,2026-02-26 22:18:08,[-336.996336996337|-180.95238095238096|-254.21245421245422|-267.3992673992674|-153.1135531135531]
27,2026-02-26 22:18:08,[-309.15750915750914|-153.1135531135531|-226.37362637362637|-242.49084249084248|-126.73992673992674]
28,2026-02-26 22:18:08,[-293.7728937728938|-132.6007326007326|-204.3956043956044|-205.86080586080587|-99.63369963369964]
29,2026-02-26 22:18:08,[-250.54945054945054|-63.73626373626374|-123.80952380952381|-152.38095238095238|-48.35164835164835]
30,2026-02-26 22:18:08,[-260.8058608058608|-123.80952380952381|-197.06959706959708|-213.1868131868132|-75.45787545787546]
31,2026-02-26 22:18:08,[-266.6666666666667|-98.9010989010989|-166.3003663003663|-67.3992673992674|460.8058608058608]
32,2026-02-26 22:18:08,[1230.03663003663|1499.6336996336997|606.5934065934066|-677.6556776556777|-695.2380952380952]
