Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
1,2026-01-31 19:26:31,3.64,7.1,35.88,0
2,2026-01-31 19:26:31,3.64,7.1,35.88,0
3,2026-01-31 19:26:31,3.64,7.1,35.94,0
4,2026-01-31 19:26:31,3.63,7.1,35.94,0
5,2026-01-31 19:26:31,3.63,7.1,35.94,0
6,2026-01-31 19:26:31,3.63,7.1,35.94,0
7,2026-01-31 19:26:31,3.63,7.1,35.94,0
8,2026-01-31 19:26:31,3.63,7.1,35.94,0
9,2026-01-31 19:26:31,3.63,7.1,35.88,0
10,2026-01-31 19:26:31,3.64,7.1,35.88,0
11,2026-01-31 19:26:32,3.64,7.1,35.88,0
12,2026-01-31 19:26:32,3.64,7.1,35.88,0
13,2026-01-31 19:26:32,3.64,7.1,35.88,0
14,2026-01-31 19:26:32,3.64,7.1,35.88,0
15,2026-01-31 19:26:32,3.64,7.1,35.81,0
16,2026-01-31 19:26:32,3.64,7.1,35.81,0
17,2026-01-31 19:26:32,3.63,7.1,35.81,0
18,2026-01-31 19:26:32,3.63,7.1,35.81,0
19,2026-01-31 19:26:32,3.63,7.1,35.81,0
20,2026-01-31 19:26:32,3.63,7.1,35.81,0
21,2026-01-31 19:26:32,3.63,7.1,35.81,0
22,2026-01-31 19:26:32,3.63,7.1,35.81,0
23,2026-01-31 19:26:32,3.63,7.1,35.81,0
24,2026-01-31 19:26:32,3.63,7.1,35.81,0
25,2026-01-31 19:26:32,3.63,7.1,35.81,0
26,2026-01-31 19:26:32,3.63,7.1,35.81,0
27,2026-01-31 19:26:32,3.63,7.1,35.88,0
28,2026-01-31 19:26:32,3.63,7.1,35.88,0
29,2026-01-31 19:26:32,3.63,7.1,35.88,0
30,2026-01-31 19:26:32,3.63,7.1,35.88,0
31,2026-01-31 19:26:32,3.63,7.1,35.88,0
32,2026-01-31 19:26:32,3.63,7.1,35.88,0
33,2026-01-31 19:26:32,3.63,7.1,35.69,0
34,2026-01-31 19:26:32,3.63,7.1,35.69,0
35,2026-01-31 19:26:32,3.64,7.1,35.69,0
36,2026-01-31 19:26:33,3.64,7.1,35.69,0
37,2026-01-31 19:26:33,3.64,7.1,35.69,0
38,2026-01-31 19:26:33,3.64,7.1,35.69,0
39,2026-01-31 19:26:33,3.64,7.1,36.19,0
40,2026-01-31 19:26:33,3.64,7.1,36.19,0
41,2026-01-31 19:26:33,3.64,7.1,36.19,0
42,2026-01-31 19:26:33,3.60,7.1,36.19,0
43,2026-01-31 19:26:33,3.60,7.1,36.19,0
44,2026-01-31 19:26:33,3.60,7.1,36.19,0
45,2026-01-31 19:26:33,3.60,7.1,35.94,0
46,2026-01-31 19:26:33,3.60,7.1,35.94,0
47,2026-01-31 19:26:33,3.60,7.1,35.94,0
48,2026-01-31 19:26:33,3.63,7.1,35.94,0
49,2026-01-31 19:26:33,3.63,7.1,35.94,0
50,2026-01-31 19:26:33,3.63,7.1,35.94,0
51,2026-01-31 19:26:33,3.63,7.1,36.00,0
52,2026-01-31 19:26:33,3.63,7.1,36.00,0
