Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
1,2026-02-10 20:22:00,3.62,5.7,34.44,0
2,2026-02-10 20:22:00,3.62,5.7,34.69,0
3,2026-02-10 20:22:00,3.62,5.7,34.69,0
4,2026-02-10 20:22:00,3.61,5.7,34.69,0
5,2026-02-10 20:22:00,3.61,5.7,34.69,0
6,2026-02-10 20:22:00,3.61,5.7,34.69,0
7,2026-02-10 20:22:00,3.61,5.7,34.69,0
8,2026-02-10 20:22:00,3.61,5.7,34.56,0
9,2026-02-10 20:22:00,3.61,5.7,34.56,0
10,2026-02-10 20:22:00,3.62,5.7,34.56,0
11,2026-02-10 20:22:00,3.62,5.7,34.56,0
12,2026-02-10 20:22:00,3.62,5.7,34.56,0
13,2026-02-10 20:22:00,3.62,5.7,34.56,0
14,2026-02-10 20:22:00,3.62,5.7,34.56,0
15,2026-02-10 20:22:00,3.62,5.7,34.56,0
16,2026-02-10 20:22:00,3.62,5.7,34.56,0
17,2026-02-10 20:22:00,3.62,5.7,34.56,0
18,2026-02-10 20:22:00,3.62,5.7,34.56,0
19,2026-02-10 20:22:00,3.62,5.7,34.56,0
20,2026-02-10 20:22:00,3.62,5.7,34.44,0
21,2026-02-10 20:22:00,3.62,5.7,34.44,0
22,2026-02-10 20:22:00,3.62,5.7,34.44,0
23,2026-02-10 20:22:01,3.62,5.7,34.44,0
24,2026-02-10 20:22:01,3.62,5.7,34.44,0
25,2026-02-10 20:22:01,3.62,5.7,34.44,0
26,2026-02-10 20:22:01,3.62,5.7,34.31,0
27,2026-02-10 20:22:01,3.62,5.7,34.31,0
28,2026-02-10 20:22:01,3.62,5.7,34.31,0
29,2026-02-10 20:22:01,3.61,5.7,34.31,0
30,2026-02-10 20:22:01,3.61,5.7,34.31,0
31,2026-02-10 20:22:01,3.61,5.7,34.31,0
32,2026-02-10 20:22:01,3.61,5.7,34.62,0
33,2026-02-10 20:22:01,3.61,5.7,34.62,0
34,2026-02-10 20:22:01,3.61,5.7,34.62,0
35,2026-02-10 20:22:01,3.62,5.7,34.62,0
36,2026-02-10 20:22:01,3.62,5.7,34.62,0
37,2026-02-10 20:22:01,3.62,5.7,34.62,0
38,2026-02-10 20:22:01,3.62,5.7,34.75,0
39,2026-02-10 20:22:01,3.62,5.7,34.75,0
40,2026-02-10 20:22:01,3.62,5.7,34.75,0
41,2026-02-10 20:22:01,3.62,5.7,34.75,0
42,2026-02-10 20:22:01,3.62,5.7,34.75,0
43,2026-02-10 20:22:01,3.62,5.7,34.75,0
44,2026-02-10 20:22:01,3.62,5.7,34.44,0
45,2026-02-10 20:22:01,3.62,5.7,34.44,0
46,2026-02-10 20:22:01,3.62,5.7,34.44,0
47,2026-02-10 20:22:01,3.62,5.7,34.44,0
48,2026-02-10 20:22:01,3.62,5.7,34.44,0
49,2026-02-10 20:22:02,3.62,5.7,34.44,0
50,2026-02-10 20:22:02,3.62,5.7,34.62,0
51,2026-02-10 20:22:02,3.62,5.7,34.62,0
52,2026-02-10 20:22:02,3.62,5.7,34.62,0
53,2026-02-10 20:22:02,3.62,5.7,34.62,0
54,2026-02-10 20:22:02,3.62,5.7,34.62,0
55,2026-02-10 20:22:02,3.62,5.7,34.62,0
56,2026-02-10 20:22:02,3.62,5.7,34.56,0
57,2026-02-10 20:22:02,3.62,5.7,34.56,0
58,2026-02-10 20:22:02,3.62,5.7,34.56,0
59,2026-02-10 20:22:02,3.62,5.7,34.56,0
60,2026-02-10 20:22:02,3.62,5.7,34.56,0
61,2026-02-10 20:22:02,3.62,5.7,34.56,0
62,2026-02-10 20:22:02,3.62,5.7,34.44,0
